compound,score
ERG,-0.517696372
benzamil,-0.517626913
MYC,-0.517508893
HG-5-88-01,-0.517457021
HDAC1,-0.517337865
TWS-119,-0.517222404
KEAP1,-0.517183283
indole-3-carbinol,-0.517141899
GSK-J2,-0.516955837
PF-562271,-0.516859299
AZD-8055,-0.516675192
enoxacin,-0.516534308
GSK-1292263,-0.516382962
palbociclib,-0.516275324
cefoperazone,-0.516244532
enzalutamide,-0.516167807
metoclopramide,-0.516116395
ivabradine,-0.516073314
pelitinib,-0.516034249
TG-101348,-0.516019022
camostat-mesilate,-0.515943257
celastrol,-0.515840009
sirolimus,-0.515560992
mirodenafil,-0.515511894
afatinib,-0.515329341
telbivudine,-0.515308246
TGFBR1,-0.515272651
temsirolimus,-0.515265259
exemestane,-0.515030952
fostamatinib,-0.515020603
quinidine,-0.514981015
fingolimod,-0.514942985
NU-7441,-0.514808625
trientine,-0.514661726
rebamipide,-0.514497855
PIK-93,-0.514362539
tozasertib,-0.514276013
CP-724714,-0.514258139
exherin,-0.51407173
KIN001-043,-0.514060516
ZEB1,-0.514049998
TP53,-0.513730064
teneligliptin,-0.513720357
TGX-221,-0.513676933
PLX-4720,-0.513552355
cepharanthine,-0.513475886
CIC,-0.513454304
stavudine,-0.513445527
TGFBR2,-0.513305675
nandrolone,-0.513288334
RPS6,-0.513283639
taladegib,-0.513218253
piroxicam,-0.51321117
NVP-BEZ235,-0.513115403
novobiocin,-0.513091098
GSK-2126458,-0.513088619
PFDN2,-0.512992131
EXO1,-0.512971146
PHA-665752,-0.512955672
fdcyd,-0.512951626
VX-222,-0.512654337
naftopidil,-0.51252474
ulipristal,-0.512423066
vemurafenib,-0.512390996
vilazodone,-0.512328688
saracatinib,-0.512302788
idelalisib,-0.512238001
MAST4,-0.51212369
tie2-kinase-inhibitor,-0.5120386
Y-26763,-0.512019871
DPCPX,-0.512007642
diosmin,-0.511966248
XMD11-85H,-0.511962744
calcitriol,-0.51189985
levothyroxine,-0.511807518
AT-9283,-0.511794413
CGK-733,-0.511670964
AV-608,-0.51126767
apixaban,-0.511243129
MK-2461,-0.511106224
MAPKAPK2,-0.511076605
imatinib,-0.51090293
KIT,-0.510902242
prazosin,-0.510859787
taltirelin,-0.510796896
ZSTK-474,-0.510770378
QL-X-138,-0.510706052
IKK-inhibitor-X,-0.510632803
abiraterone-acetate,-0.510547957
ifosfamide,-0.510508774
BI-2536,-0.51040886
bupropion,-0.510398608
raloxifene,-0.510394979
selumetinib,-0.510387034
mebendazole,-0.510364206
MK-5108,-0.51028922
UnTrt,-0.509822089
quinapril,-0.509805342
penciclovir,-0.509799479
I-BET-762,-0.509763971
tacalcitol,-0.509747949
CRKL,-0.509701926
PF-04620110,-0.50969997
theophylline,-0.509667601
D-4476,-0.509581901
PSI-7976,-0.509570545
r(-)-apomorphine,-0.509558978
linifanib,-0.509551818
AXL,-0.509469966
AZD-8330,-0.509456078
meclofenamic-acid,-0.509449954
levocabastine,-0.509377801
FPL-62064,-0.509355332
thiomersal,-0.509227667
ritodrine,-0.509170358
rasagiline,-0.509150856
WYE-125132,-0.509124315
birinapant,-0.509052718
phentolamine,-0.509024095
neratinib,-0.508925933
JNK-9L,-0.508739059
mitoxantrone,-0.508692716
FASN,-0.508673589
NVP-TAE226,-0.508661785
ginkgolide-b,-0.508613882
azelastine,-0.508518496
pitavastatin,-0.50843434
serdemetan,-0.508324134
vanoxerine,-0.508176442
YM-201636,-0.508153204
CI-976,-0.5081254
etomoxir,-0.50809424
HDAC2,-0.50796046
vorinostat,-0.507619565
CTSK,-0.507608112
lersivirine,-0.507422356
CAMK1,-0.507379513
lorglumide,-0.507331655
ramatroban,-0.507278321
phenylbutazone,-0.507272418
raltegravir,-0.507157768
pyrazinamide,-0.507127121
dacinostat,-0.50706855
AMG-837,-0.506720176
WZ-7043,-0.50667023
lomeguatrib,-0.506565048
ZK-93426,-0.506476996
phenylacetylglutamine,-0.506409817
imipramine,-0.506341778
nilotinib,-0.506271291
masoprocol,-0.506194034
trimethobenzamide,-0.505900896
PTP4A1,-0.50589194
sodium-tanshinone-ii-a-sulfonate,-0.505874455
GDC-0834,-0.505865895
dideoxyadenosine,-0.505807547
temozolomide,-0.50577483
WZ-4-145,-0.505724863
UNC-0321,-0.505716037
ethinyl-estradiol,-0.505715617
AZD-5438,-0.505685327
diazoxide,-0.505653733
honokiol,-0.505635549
resveratrol,-0.505556996
SU-11274,-0.505553528
pioglitazone,-0.505489453
EGFR,-0.505404198
KRT19,-0.505218985
baicalin,-0.505153768
KIN001-127,-0.504906479
dazmegrel,-0.50485046
VE-821,-0.504832978
alpelisib,-0.504796427
picotamide,-0.504782343
ivacaftor,-0.504645339
amonafide,-0.504599278
KW-2449,-0.504559782
mibefradil,-0.504509044
HDAC3,-0.504426243
ZK-93423,-0.504401916
CP-945598,-0.504262601
taselisib,-0.504120746
saxagliptin,-0.504110916
losartan,-0.504065973
amoxapine,-0.504059811
testosterone,-0.504059442
THZ-2-98-01,-0.504049244
trilostane,-0.504032338
JUN,-0.503994482
rucinol,-0.503991427
osimertinib,-0.503932293
pindolol,-0.503923762
siramesine,-0.503883828
etofenamate,-0.503853967
SGI-1776,-0.503848961
AT-7519,-0.503786848
varenicline,-0.503731089
dicoumarol,-0.503728334
fluvoxamine,-0.503688558
doxycycline,-0.503614576
AKT1,-0.503541957
daminozide,-0.503518593
LDN-193189,-0.50350626
carbachol,-0.503445696
clobetasol,-0.503403292
3-deazaadenosine,-0.503352833
barasertib-HQPA,-0.503338604
andarine,-0.50327851
CX-5461,-0.5032204
zaleplon,-0.503220352
combretastatin-A-4,-0.50318972
seocalcitol,-0.503173716
oxiperomide,-0.503165423
trazodone,-0.503063139
cianidanol,-0.503059756
dazoxiben,-0.503050134
BTS-54505,-0.503035459
"ICI-185,282",-0.503016599
BMS-777607,-0.503013906
tosedostat,-0.502997918
AT7867,-0.502997488
sulbactam,-0.502983924
atrasentan,-0.502976932
vu0155056,-0.502866192
andrographolide,-0.50285073
flutamide,-0.502807764
AMG-208,-0.502798127
AKT-inhibitor-1-2,-0.502797317
FK-888,-0.50278103
AZ-20,-0.50277501
gliclazide,-0.502719853
topiroxostat,-0.502702334
palmitoylethanolamide,-0.502640657
roxithromycin,-0.502534788
cabozantinib,-0.502493533
trehalose,-0.502454416
MK-1775,-0.502450254
pirfenidone,-0.502374009
AMG-232,-0.502333658
aripiprazole,-0.50231647
PF-04457845,-0.502290064
etizolam,-0.501916632
BMS-599626,-0.501892921
BX-795,-0.501632476
azithromycin,-0.501552716
INSM2,-0.501478703
fenoldopam,-0.501427352
Y-27632,-0.501387793
idoxuridin,-0.501364561
metixene,-0.501359926
ibutilide,-0.50134714
GDC-0152,-0.501337671
thalidomide,-0.501329616
HMN-214,-0.501326696
mitomycin-c,-0.501310243
siguazodan,-0.501213862
FN1,-0.50100651
pentoxifylline,-0.500994537
ibutamoren,-0.500969723
vandetanib,-0.500938901
NVP-AUY922,-0.500862474
orlistat,-0.500856373
carprofen,-0.500831425
oxymetazoline,-0.500685037
ACY-1215,-0.500534358
beclomethasone-dipropionate,-0.500520115
oxfendazole,-0.500501512
almorexant,-0.500477512
brequinar,-0.500400705
galeterone,-0.500378599
CGP-12177,-0.500362389
tolazamide,-0.500327748
HG-14-10-04,-0.5003255
midostaurin,-0.500300673
tolimidone,-0.500282402
deferiprone,-0.500280743
GW-843682X,-0.500262724
metronidazole,-0.500256826
tipranavir,-0.500222173
methazolamide,-0.500144203
felodipine,-0.500096723
lomitapide,-0.500088189
rimantadine,-0.500007874
loratadine,-0.499970171
SYK-inhibitor,-0.499851619
flecainide,-0.499850895
MK-8033,-0.499828378
ivermectin,-0.499810861
bezafibrate,-0.499778753
BIX-01294,-0.499766572
indinavir,-0.499740577
tacedinaline,-0.499724067
mericitabine,-0.499638382
indoximod,-0.499620504
choline-alfoscerate,-0.499619484
KI-20227,-0.499566701
FR-180204,-0.499556338
GSK-690693,-0.499444297
acyclovir,-0.499436936
motesanib,-0.499408733
BCL2L1,-0.499335079
AZD-9668,-0.499299307
PRX-08066,-0.499277065
SB-525334,-0.499251536
diethylcarbamazine,-0.499237812
epinastine,-0.499235171
clomipramine,-0.499193247
BIBX-1382,-0.49918888
thiocolchicoside,-0.499169921
dofequidar,-0.499155216
acrivastine,-0.499134873
diphenidol,-0.499059374
LY-2603618,-0.498958139
GSK-2334470,-0.498930898
etoposide,-0.498912992
ketoconazole,-0.498856383
benfluorex,-0.498847943
regorafenib,-0.498817571
talnetant,-0.498800135
LY-2811376,-0.49870281
SAR-245409,-0.49869569
tivozanib,-0.49867294
racecadotril,-0.498598966
gaboxadol,-0.498553747
abacavir,-0.498551656
fentiazac,-0.498519587
aprepitant,-0.498475305
noscapine,-0.498471451
AGI-5198,-0.498447974
dacomitinib,-0.498436641
sitagliptin,-0.498424297
pterostilbene,-0.498420875
gallopamil,-0.498410235
nimesulide,-0.498332076
PF-04217903,-0.498327938
butorphanol-(+)-tartrate,-0.498253904
enzastaurin,-0.498234072
ACLY,-0.498209798
lirimilast,-0.498205649
aurora-a-inhibitor-i,-0.498168526
mizolastine,-0.498165739
omeprazole,-0.498094422
rabeprazole,-0.498093811
BX-912,-0.498084702
BMS-509744,-0.498000151
dexamethasone,-0.497865401
azelaic-acid,-0.497855357
hydroxyurea,-0.497841729
aniracetam,-0.497714326
BCI-540,-0.497694395
sulmazole,-0.497657376
AV-412,-0.497619197
toremifene,-0.49758913
iniparib,-0.497584121
AZD-1480,-0.497570601
NMS-1286937,-0.497541237
HG-9-91-01,-0.497540395
luliconazole,-0.497539464
imiquimod,-0.49753577
oxybenzone,-0.497515585
vernakalant,-0.497477053
GDC-0068,-0.497369818
merbarone,-0.497353229
dexamethasone-acetate,-0.497282691
cefdinir,-0.497172452
gefitinib,-0.497162945
NSI-189,-0.49713002
AZD-5363,-0.497113795
propafenone,-0.497113584
nevirapine,-0.497103264
disulfiram,-0.497070562
dabigatran-etexilate,-0.497041097
amfepramone,-0.496996203
bifemelane,-0.496992845
CEP-32496,-0.496982878
naringenin,-0.496960697
dihydroergotamine,-0.496901169
benzylpenicillin,-0.496851926
R-547,-0.496849722
altretamine,-0.496834457
DMP-777,-0.496826661
triflupromazine,-0.496815655
STA-5326,-0.496748029
isradipine,-0.496737633
clotrimazole,-0.496734362
BMS-299897,-0.496721845
AURKB,-0.496618144
dutasteride,-0.496618136
mepyramine,-0.496554093
sotrastaurin,-0.496410088
rutin,-0.49619135
PLXNA1,-0.496176946
fluspirilene,-0.496113584
atomoxetine,-0.496090287
milacemide,-0.496036573
cilostazol,-0.496032183
protriptyline,-0.49597678
NVP-AEW541,-0.495954617
BMS-345541,-0.495953333
oxandrolone,-0.495835334
TAK-715,-0.495718995
valdecoxib,-0.49567993
ITGA11,-0.49567092
miglustat,-0.495621081
temazepam,-0.495541023
sofalcone,-0.495479645
vincamine,-0.495449119
BRAF,-0.495448448
olmesartan-medoxomil,-0.495435371
baricitinib,-0.495432265
rifabutin,-0.495408821
lapatinib,-0.495403947
danegaptide,-0.495394562
AZD-7762,-0.495383576
ALX-5407,-0.495373097
pinacidil,-0.495317494
indobufen,-0.495311291
amodiaquine,-0.495267405
acenocoumarol,-0.495137284
pravastatin,-0.495135369
molsidomine,-0.495049669
ABT-737,-0.495008579
furosemide,-0.494993771
UNC-1215,-0.494976929
asenapine,-0.494924796
CTB,-0.494835811
enoxolone,-0.494833453
"4,5,6,7-tetrabromobenzotriazole",-0.494769766
prochlorperazine,-0.494760912
dilazep,-0.49475162
cobimetinib,-0.494737847
primidone,-0.494696313
SDZ-NKT-343,-0.494676228
LGX-818,-0.494645385
chlorpropamide,-0.494609765
macitentan,-0.494507177
rimexolone,-0.494491891
chelerythrine,-0.494431359
acifran,-0.49441325
clofazimine,-0.49440002
levamisole,-0.494351142
oxatomide,-0.494317453
roflumilast,-0.494316726
clindamycin,-0.494255966
FPL-55712,-0.494253623
GSK-1070916,-0.494225614
GSK-J1,-0.494212969
I-BET-151,-0.494206861
tolcapone,-0.494188486
SB-590885,-0.49417296
clenbuterol,-0.494169691
capecitabine,-0.494122746
lonidamine,-0.494111531
HC-030031,-0.493970538
itraconazole,-0.493963766
ethylenediaminetetraacetic-acid,-0.493949637
manumycin-a,-0.493948946
methylprednisolone,-0.493905514
HG-6-64-01,-0.493894951
curcumin,-0.493891995
TAK-875,-0.493849725
estramustine,-0.493817763
PHA-793887,-0.493765539
bitopertin,-0.493749955
orantinib,-0.493740759
pilaralisib,-0.493665794
sorbinil,-0.493632741
BIX-02189,-0.493630414
miconazole,-0.493604496
lomerizine,-0.493576997
orphenadrine,-0.493571216
chlorprothixene,-0.493562201
isoniazid,-0.493505384
perindopril,-0.493481996
A-443654,-0.493331361
griseofulvin,-0.493292736
diacerein,-0.493175147
pazopanib,-0.493166057
tiapride,-0.493108249
mirtazapine,-0.493102033
LY-2157299,-0.493084515
riociguat,-0.493077653
paricalcitol,-0.4930727
cefotetan,-0.493071615
cinaciguat,-0.493032868
cytochalasin-b,-0.493032584
AZD-4547,-0.492928063
GSK-2110183,-0.492859659
perampanel,-0.492844422
desmopressin-acetate,-0.492756279
asymmetrical-dimethylarginine,-0.492744321
fluorometholone,-0.492721
otamixaban,-0.49267778
reparixin,-0.492659455
clofibric-acid,-0.492634911
darapladib,-0.492589231
UNC-0638,-0.492566737
halcinonide,-0.492517315
cefozopran,-0.492516416
ilomastat,-0.492481599
dorzolamide,-0.492476453
oxaprozin,-0.492454115
taranabant,-0.492430441
atipamezole,-0.492394404
aspirin,-0.492364511
trapidil,-0.49235938
dalfampridine,-0.492345681
irsogladine,-0.492325107
amcinonide,-0.49229087
OCO-1112,-0.492275941
EX-527,-0.492247342
CEP-37440,-0.492234922
AZ-628,-0.492196472
licochalcone-a,-0.492182773
indacaterol,-0.492150946
ORE-1001,-0.492132706
fludarabine-phosphate,-0.492116514
tivantinib,-0.492108957
urapidil,-0.492071715
nalbuphine,-0.492038863
doxifluridine,-0.492001
ischemin,-0.491995643
varespladib,-0.491967267
edoxaban,-0.491961197
fomocaine,-0.49192886
arofylline,-0.49191135
rimonabant,-0.491897336
broxuridine,-0.491775569
CG-930,-0.491773826
1271738-62-5,-0.491732808
azathioprine,-0.491703529
flavoxate,-0.491683767
tetracaine,-0.491661372
halofantrine,-0.491636794
lurasidone,-0.49153856
oxypurinol,-0.49150748
perhexiline,-0.491453033
LX-1031,-0.491443214
GSK-461364,-0.491365483
ifenprodil,-0.491355682
basimglurant,-0.491346285
WZ-3105,-0.491339855
targinine,-0.491332966
sufentanil,-0.491322679
meclizine,-0.49129073
nefazodone,-0.491256048
RS-127445,-0.491256028
fluphenazine,-0.491244253
KIN001-269,-0.491186983
minaprine,-0.491180644
bimatoprost,-0.491149163
donitriptan,-0.491096841
tetrahydrouridine,-0.491060751
chenodiol,-0.491059597
betahistine,-0.491047242
sulfasalazine,-0.49101425
RAF-265,-0.490999994
ganetespib,-0.4909981
MK-0812,-0.490990014
chloramphenicol,-0.490987636
hesperidin,-0.490924254
belinostat,-0.490872252
faropenem,-0.490868786
pregnenolone,-0.490861803
pralatrexate,-0.490739028
apremilast,-0.490710665
etacrynic-acid,-0.490694933
repaglinide,-0.490656677
BRD-K68548958,-0.490624658
proglumide,-0.490622325
AP-26113,-0.490581711
amrinone,-0.490564809
acexamic-acid,-0.490501963
triamcinolone,-0.490465381
CX-516,-0.490461266
saquinavir,-0.490452932
fomepizole,-0.490409148
ursodeoxycholyltaurine,-0.490377443
MBX-2982,-0.490338197
voxtalisib,-0.490312412
famciclovir,-0.490306937
bosentan,-0.490306769
VE-822,-0.490289465
mestranol,-0.490243806
sobetirome,-0.490242948
timofibrate,-0.490216686
NVP-BGJ398,-0.490176098
telotristat,-0.490068011
ASA-404,-0.489997446
XMD-892,-0.489979641
econazole,-0.489841093
tofacitinib,-0.489836876
WZ-4002,-0.489677399
clofibrate,-0.489636572
cisapride,-0.489609161
vicriviroc,-0.489603204
sarsagenin,-0.489599768
methylnaltrexone,-0.489599522
adapalene,-0.489592071
ARRY-334543,-0.48949383
verteporfin,-0.489477428
staurosporine,-0.489419414
ATN-161,-0.489369474
bromocriptine,-0.489359556
tetrindole,-0.489287997
KIN001-242,-0.489223854
hydrocortisone,-0.48921987
triamcinolone-acetonide,-0.489162908
yohimbine,-0.48914257
ZD-7114,-0.489135032
sildenafil,-0.489107106
SB-216763,-0.489102525
aminoglutethimide,-0.489085523
clonazepam,-0.489079149
decitabine,-0.489058615
PF-03758309,-0.48899924
dabrafenib,-0.4889646
cpi-169,-0.488935088
trimetazidine,-0.488921809
TAK-733,-0.488906543
dapsone,-0.488838164
phenprocoumon,-0.488796218
SB-203580,-0.488795965
acarbose,-0.488784923
XBD-173,-0.488778612
JNJ-38877605,-0.488710803
mepivacaine,-0.488697196
alectinib,-0.488693775
torcitabine,-0.488690264
KD-025,-0.488674457
SR-57227A,-0.488654089
lesinurad,-0.488653295
mozavaptan,-0.488644364
IOX2,-0.488599795
cyproheptadine,-0.488594569
naftifine,-0.488525053
isofloxythepin,-0.4885086
fusidic-acid,-0.488497889
ipratropium,-0.488480125
romidepsin,-0.488455227
ornidazole,-0.488379296
maraviroc,-0.488320254
dolasetron,-0.488315481
diltiazem,-0.488297666
apocynin,-0.488287232
PFI-1,-0.488251771
bicalutamide,-0.488243987
amsacrine,-0.488241975
BMS-927711,-0.488213641
BS-181,-0.488207778
LUCIFERASE,-0.488200968
LY-2874455,-0.488171332
tyrphostin-AG-1478,-0.48816847
pyrimethamine,-0.488013065
papaverine,-0.487997284
altrenogest,-0.487971748
bifonazole,-0.487956894
linopirdine,-0.48794476
CC-401,-0.487914167
vismodegib,-0.487847475
methimazole,-0.487847427
carfilzomib,-0.487828631
CC-930,-0.487758144
amineptine,-0.487755464
moxisylyte,-0.487732957
GSK-429286A,-0.487688164
A-66,-0.487672759
pemirolast,-0.487661782
pyrazinoylguanidine,-0.48763511
ercalcitriol,-0.487629943
KIN001-266,-0.487620652
epigallocatechin-gallate-(-),-0.487592481
trimebutine,-0.487584951
tolbutamide,-0.487574163
GW-5074,-0.487563554
danusertib,-0.487556487
cariprazine,-0.487541758
fulvestrant,-0.487536872
anacardic-acid,-0.487522454
cariporide,-0.487508249
rizatriptan,-0.487475019
lidamidine,-0.487428655
tebipenem,-0.487382417
moclobemide,-0.487367048
alprostadil,-0.487358227
salvinorin-a,-0.487354261
telatinib,-0.487352372
simeprevir,-0.487261389
venetoclax,-0.487260633
benzbromarone,-0.487214477
fenobam,-0.487204008
GSK-923295,-0.487154132
mianserin,-0.487145898
primaquine,-0.487131278
fluorouracil,-0.48707099
levetiracetam,-0.48703994
levofloxacin,-0.486968226
VX-745,-0.486960882
AMG-517,-0.486936654
QL-XII-47,-0.486910796
sarcosine,-0.486819203
levalbuterol,-0.486813807
methiopril,-0.48677757
ripasudil,-0.486709158
kakonein,-0.486697543
ranitidine,-0.486690725
GNF-2,-0.486661845
ambrisentan,-0.486651071
zosuquidar,-0.486487515
torin-2,-0.486457188
clozapine,-0.486433252
BGT-226,-0.486419673
bosutinib,-0.486415928
letrozole,-0.486410354
PF-573228,-0.48640753
resminostat,-0.486394074
rifaximin,-0.486372152
pilocarpine,-0.486358264
ibrutinib,-0.486320167
gemifloxacin,-0.486271828
talinolol,-0.486228494
RG-4733,-0.486227234
lumacaftor,-0.486224521
telmesteine,-0.486135097
SB-242235,-0.486090023
procainamide,-0.486086776
epitiostanol,-0.486050391
KU-55933,-0.486029164
mazindol,-0.486015808
JWE-035,-0.485975857
VX-765,-0.485947932
ganaxolone,-0.48591118
TAK-285,-0.48589654
MK-0752,-0.485810343
desoxypeganine,-0.485771499
felbinac,-0.48576788
lenvatinib,-0.485759746
AEE-788,-0.485738726
cimetidine,-0.485716795
safinamide,-0.485699064
vinburnine,-0.485680911
LY-294002,-0.485670212
nesbuvir,-0.48566804
NPK76-II-72-1,-0.48566285
citalopram,-0.485658165
CPI-613,-0.485628416
PF-02545920,-0.485620904
rigosertib,-0.485585733
GDC-0879,-0.485554593
garcinol,-0.485524155
zafirlukast,-0.485513718
penfluridol,-0.485510119
sulfadoxine,-0.485468035
gliquidone,-0.485440829
ftorafur,-0.485394655
dexniguldipine,-0.485368694
norethisterone,-0.485234979
droperidol,-0.485205745
amuvatinib,-0.485174035
SGX523,-0.485124553
ST-1859,-0.485091156
valsartan,-0.485019211
clarithromycin,-0.484987735
rondual-kinase-inhibitor,-0.484985968
PF-431396,-0.484968388
anamorelin,-0.484963465
JQ1-(-),-0.484957738
lacidipine,-0.484947285
avanafil,-0.484940723
ticagrelor,-0.484924458
flumazenil,-0.484901373
verapamil,-0.484858999
adatanserin,-0.484851809
diclofenac,-0.484833631
CTS-1027,-0.484807973
nicardipine,-0.484780294
guanadrel,-0.484723495
IKK-2-inhibitor-V,-0.484648393
tranylcypromine,-0.484626951
AZD-1208,-0.484611607
trovafloxacin,-0.484596206
zolpidem,-0.484561715
BMS-707035,-0.484558389
CGS-20625,-0.484541496
valrubicin,-0.48449457
terbinafine,-0.484469376
levosimendan,-0.484412836
rivaroxaban,-0.484382543
defactinib,-0.484373465
AICA-ribonucleotide,-0.484345897
simvastatin,-0.484289218
fluoxetine,-0.484282724
rolipram,-0.484229557
celecoxib,-0.48421921
JTE-907,-0.484190866
XMD-1499,-0.484150941
PF-477736,-0.484076364
VP-20629,-0.484050432
pasireotide,-0.484027723
thioridazine,-0.484024995
QL-XI-92,-0.483995419
balapiravir,-0.483990157
AZD-1981,-0.483986148
benzotript,-0.483977864
ZM-447439,-0.483974548
rucaparib,-0.483951251
quiflapon,-0.483884053
PF-03814735,-0.483882035
KU-60019,-0.483871294
palomid-529,-0.483800015
KD-023,-0.483778894
PHA-848125,-0.483749591
deoxycholic-acid,-0.483749436
entecavir,-0.483648695
VX-661,-0.483603004
DU-728,-0.483544137
OSI-930,-0.483500361
MC1568,-0.483487438
amitifadine,-0.483397986
acivicin,-0.483353177
paracetamol,-0.483325397
salirasib,-0.483303669
neostigmine,-0.48323909
pimecrolimus,-0.483227558
etravirine,-0.48318099
diflunisal,-0.483175879
pirenoxine,-0.483140089
SC-12267,-0.483119513
naftidrofuryl,-0.483087398
diphenylpyraline,-0.483054375
calpain inhibitor ii,-0.48303305
medetomidine,-0.482880259
UNC-669,-0.482836293
venlafaxine,-0.482770008
ebselen,-0.482712522
nortriptyline,-0.482688932
estramustine-phosphate,-0.482568136
RHO-kinase-inhibitor-III[rockout],-0.482565931
arbutin,-0.48256359
risperidone,-0.482553258
SB-239063,-0.482532437
rottlerin,-0.482407356
ozagrel,-0.482389608
cytisine,-0.482329884
MDL-73005EF,-0.482326024
phenylbutyrate,-0.482312013
cordycepin,-0.482309872
alvocidib,-0.48228598
chloroxine,-0.48226242
forskolin,-0.482239661
gsk126,-0.482151237
ropinirole,-0.482142014
pramipexole,-0.482134117
oseltamivir-carboxylate,-0.482129484
acebutolol,-0.482126823
ALW-II-49-7,-0.482110154
filgotinib,-0.48209679
pimobendan,-0.482089196
amiprilose,-0.482023058
erythromycin,-0.481963506
zaldaride,-0.481917421
bupivacaine,-0.481900776
pimozide,-0.481887794
azacitidine,-0.481882785
betulinic-acid,-0.481850879
selegiline,-0.481797991
eptifibatide,-0.481797327
narlaprevir,-0.481786606
rilmenidine,-0.481671592
metergoline,-0.481671542
ganciclovir,-0.481639508
RG-2833,-0.481577222
disopyramide,-0.481543292
anisodamine,-0.481539513
EMD-53998,-0.481513394
LY-2228820,-0.481467062
phentermine,-0.48142717
dovitinib,-0.481390868
idebenone,-0.481385715
mifobate,-0.481368503
norfloxacin,-0.481315876
phenylephrine,-0.481283529
doramapimod,-0.481273616
caffeine,-0.481272668
laropiprant,-0.481185276
troglitazone,-0.481144535
grazoprevir,-0.481113007
BIX-01338,-0.481109385
DPI-201106,-0.48105823
fidaxomicin,-0.481024582
etodolac,-0.481008375
capsaicin,-0.480971963
acetylcysteine,-0.480948452
dronedarone,-0.480880052
amiloride,-0.480853465
umeclidinium,-0.480805438
ziprasidone,-0.480795715
REV-5901,-0.48069302
O6-benzylguanine,-0.480681758
doxapram,-0.48067408
hypericin,-0.480673579
glibenclamide,-0.480640904
JW55,-0.480633357
SN-38,-0.480612135
IB-MECA,-0.480593847
ABT-239,-0.480573661
guanaben-acetate,-0.480566244
rotundine,-0.480566007
idalopirdine,-0.480558121
nemonapride,-0.480546584
KW-2478,-0.480516583
dapivirine,-0.480493395
molindone,-0.48043916
ixazomib-citrate,-0.480407856
glycopyrrolate,-0.480404939
blonanserin,-0.480386044
palonosetron,-0.480362394
PCI-24781,-0.480331725
nisoxetine,-0.480321731
fluconazole,-0.480290728
amlodipine,-0.480265634
MLN-8054,-0.480247378
SR-27897,-0.480218796
"3,3'-diindolylmethane",-0.48018248
rocuronium,-0.480153582
tazarotene,-0.480100932
ipriflavone,-0.480091067
candesartan,-0.480054083
mCPP,-0.480052782
oxybuprocaine,-0.480029134
BAY-87-2243,-0.480026325
firategrast,-0.480021473
sumatriptan,-0.479992728
triptorelin,-0.479982487
NU-7026,-0.479981508
