compound,score
YM-201636,-0.537239906
D-4476,-0.537209442
selumetinib,-0.5371206
CYT-997,-0.537078365
KIN001-260,-0.536995931
gallopamil,-0.536958084
resveratrol,-0.536913068
benzthiazide,-0.536576087
CX-5461,-0.536461873
guanaben-acetate,-0.536146168
THZ-2-98-01,-0.536115903
trapidil,-0.536097337
mitoxantrone,-0.536039471
CP-724714,-0.536001568
doxofylline,-0.535932971
tetradecylthioacetic-acid,-0.535737326
smer-3,-0.535581804
enoxolone,-0.535543103
tivozanib,-0.535538496
canertinib,-0.535511185
SU-11274,-0.535400511
ibutilide,-0.535312884
tamoxifen,-0.535260715
amtolmetin-guacil,-0.535005199
apabetalone,-0.534636387
BMS-345541,-0.534546953
DPCPX,-0.534473904
XMD-892,-0.534435166
PD-173074,-0.534309249
CGP-12177,-0.534290888
HMN-214,-0.534242615
palonosetron,-0.534220913
GDC-0941,-0.533918556
NU-7441,-0.533884714
tobramycin,-0.533793518
AGI-6780,-0.533734702
artesunate,-0.533668785
pelitinib,-0.53329901
caffeine,-0.533083016
AZD-5438,-0.53287585
OSI-027,-0.532858515
NVP-AEW541,-0.532846231
SYK-inhibitor,-0.532764791
eflornithine,-0.532698796
stavudine,-0.532666174
fenobam,-0.532550367
dantrolene,-0.532373004
SAR-245408,-0.532363087
O6-benzylguanine,-0.532167453
econazole,-0.532084304
BTS-54505,-0.532056519
dolastatin-10,-0.532041374
celastrol,-0.53202227
vernakalant,-0.531917995
mecamylamine,-0.531719505
diethylcarbamazine,-0.53166424
toremifene,-0.531635157
sotrastaurin,-0.531602011
clomifene,-0.531134004
bicalutamide,-0.530796424
paroxetine,-0.530559716
flumazenil,-0.530489028
daminozide,-0.53040086
dosulepin,-0.530249436
SB-525334,-0.530239096
imipramine,-0.530189521
STA-5326,-0.53016822
bromocriptine,-0.530129147
eperezolid,-0.530089269
CNQX,-0.529971942
MK-2206,-0.529907121
SB-203580,-0.529795365
oxaprozin,-0.529793317
JNK-9L,-0.529768714
I-BET-762,-0.529679105
trametinib,-0.529559924
TAK-715,-0.529556737
ramatroban,-0.529502987
SGX523,-0.529494893
S-ruxolitinib,-0.529372791
KD-025,-0.529291214
arofylline,-0.529100496
linsitinib,-0.529084755
VX-661,-0.529068555
anecortave-acetate,-0.529054593
elacridar,-0.529052065
hesperidin,-0.528752212
basimglurant,-0.528577505
theophylline,-0.528563046
famciclovir,-0.528406959
sofalcone,-0.528403985
atenolol-(+/-),-0.528171683
methyldopa,-0.528010509
PF-431396,-0.527789499
glibenclamide,-0.527789398
sufentanil,-0.527590072
fluoxetine,-0.527585675
orphenadrine,-0.527431689
anacardic-acid,-0.527372502
talazoparib,-0.52714299
MLN-8054,-0.526920036
foretinib,-0.526879406
omeprazole,-0.526827884
AZD-7762,-0.526781806
reboxetine,-0.526525147
piracetam,-0.52649324
clindamycin,-0.526381292
cordycepin,-0.526241522
pregnenolone,-0.526220432
JNJ-38877605,-0.526147102
vemurafenib,-0.526133161
aripiprazole,-0.526090055
PF-02545920,-0.525917937
anacetrapib,-0.525843151
TGX-221,-0.525824983
ubenimex,-0.525820155
sacubitril,-0.525812225
alectinib,-0.525774663
10-DEBC,-0.525752016
dazmegrel,-0.525708526
ibrutinib,-0.525706885
cianidanol,-0.525703805
dolasetron,-0.525685081
meglitinide,-0.525664096
GNF-2,-0.525651864
tranylcypromine,-0.525539263
VE-821,-0.525506669
sitagliptin,-0.525504688
ozagrel,-0.525442408
XBD-173,-0.525420475
physostigmine,-0.525415916
tandutinib,-0.52531847
tie2-kinase-inhibitor,-0.525304494
mepyramine,-0.525303956
CP-466722,-0.525296149
regorafenib,-0.525275223
metoclopramide,-0.525133921
SB-743921,-0.525117875
barasertib,-0.525114473
WZ-4-145,-0.525094135
amlexanox,-0.525081196
GSK-923295,-0.524923551
NMS-1286937,-0.524893233
GDC-0879,-0.524859259
vinburnine,-0.524794523
ethylenediaminetetraacetic-acid,-0.524693059
masitinib,-0.524676755
pyrazolanthrone,-0.524663654
aminoglutethimide,-0.524648465
sunitinib,-0.524616441
fidaxomicin,-0.524602549
AZD-6482,-0.524596208
volasertib,-0.524581969
favipiravir,-0.524578173
PK-11195,-0.524524521
ledipasvir,-0.524497295
decitabine,-0.524484998
almitrine,-0.524465382
dimethyl-fumarate,-0.524461893
genistein,-0.524392554
sorbinil,-0.524362567
pitavastatin,-0.52434351
AZD-1480,-0.524329083
batimastat,-0.524312793
temoporfin,-0.524266109
pindolol,-0.524218861
alprostadil,-0.524208192
GW-5074,-0.524144816
TPCA-1,-0.524088832
rondual-kinase-inhibitor,-0.524085782
pravastatin,-0.524023856
Z160,-0.52392242
buflomedil,-0.523921158
lisinopril,-0.523847892
flutamide,-0.523839366
tozasertib,-0.523829121
anamorelin,-0.523796249
dextromethorphan,-0.523781012
blonanserin,-0.52358084
altanserin,-0.523421362
exalamide,-0.523382178
imatinib,-0.523358745
acebutolol,-0.523353099
ZM-447439,-0.523331527
MK-8033,-0.523304948
famotidine,-0.523297239
trifluridine,-0.523278339
PF-04217903,-0.523079455
gemifloxacin,-0.523047978
CG-930,-0.522903675
idebenone,-0.522862241
dacomitinib,-0.522832874
naftidrofuryl,-0.522816037
PI-103,-0.522790889
valproic-acid,-0.522706738
MLN-2480,-0.522688883
nicotine,-0.522684079
L-NAME,-0.522643525
etoposide,-0.522622417
NPK76-II-72-1,-0.522587776
fenoterol,-0.522584503
nafamostat,-0.522548339
tazobactam,-0.52252708
colchicine,-0.522517385
dexamethasone,-0.522482912
diphenidol,-0.522478374
lidamidine,-0.522461163
clinafloxacin,-0.522454263
MK-5108,-0.52244427
phenylbutazone,-0.522441772
CI-976,-0.52242478
GSK-J4,-0.522408364
talinolol,-0.522337803
tamsulosin,-0.522302372
HG-6-64-01,-0.522266489
alagebrium,-0.522256161
indoramin,-0.522193268
ALX-5407,-0.521852482
probenecid,-0.521769607
mibefradil,-0.521741212
QL-XI-92,-0.52165543
ercalcitriol,-0.521633637
sumatriptan,-0.521622579
CC-401,-0.521613095
ALW-II-38-3,-0.521501774
GSK-256066,-0.521462649
clomipramine,-0.521459023
PX-12,-0.521362069
safingol,-0.521360122
tosedostat,-0.521346781
SCH-28080,-0.521333491
KIN001-269,-0.521316862
PF-573228,-0.521270996
quizartinib,-0.521234167
levobunolol,-0.521204432
BMS-777607,-0.521126921
moracizine,-0.521120372
staurosporine,-0.521074392
AMG-837,-0.5210639
vorinostat,-0.520994127
EX-527,-0.520981913
ST-1859,-0.520931266
podophyllotoxin,-0.520915515
nilotinib,-0.520804095
PCA-4248,-0.520761441
aminoguanidine,-0.520683433
papaverine,-0.520647988
manumycin-a,-0.52059297
miltefosine,-0.520584863
formoterol,-0.520565141
diclofenac,-0.520529368
ecabet,-0.520471122
NVP-BHG712,-0.52046943
diazepam,-0.520462572
SU-014813,-0.520434907
tetrindole,-0.520395729
CEP-32496,-0.520311469
saxagliptin,-0.520204778
piroxicam,-0.520183564
tegobuvir,-0.520178025
ginkgolide-b,-0.52009335
dapivirine,-0.520083644
YM-976,-0.520033538
epigallocatechin-gallate-(-),-0.519979235
barasertib-HQPA,-0.519979192
docetaxel,-0.519952941
AV-608,-0.519930122
avanafil,-0.519906847
loperamide,-0.519805956
tirofiban,-0.519795466
perindopril,-0.519738764
CGK-733,-0.519721088
ixabepilone,-0.519693236
SGI-1776,-0.519690227
ramipril,-0.51967737
moclobemide,-0.519645574
KW-2449,-0.5196415
aurora-a-inhibitor-i,-0.51963715
mirodenafil,-0.519532083
AZD-7545,-0.519524997
torin-1,-0.519523388
capecitabine,-0.519479042
nikethamide,-0.519449774
rufinamide,-0.519431245
mizolastine,-0.519420958
lerisetron,-0.51939936
alpelisib,-0.519385584
ZK-93426,-0.519378772
etizolam,-0.519300261
UNC-669,-0.519295873
AGK-2,-0.519273116
ciprofloxacin,-0.519160474
GSK-1292263,-0.519144167
carbachol,-0.519125731
lomitapide,-0.519105277
thiomersal,-0.519055307
vandetanib,-0.519040049
scopolamine,-0.519018551
ivacaftor,-0.519016545
lacosamide,-0.518989404
amodiaquine,-0.518984399
terbinafine,-0.518980943
JW-7-24-1,-0.518947265
KIN001-270,-0.518822882
neostigmine,-0.518809395
sch 900776,-0.518795051
ingenol-mebutate,-0.518737983
MK-0812,-0.518735544
CPI-613,-0.518719011
brequinar,-0.518694915
chlorpropamide,-0.518693977
nebivolol,-0.518628245
ZK-93423,-0.518620834
mercaptopurine,-0.51860101
bisoprolol,-0.518591549
NVP-DPP728,-0.518570846
donitriptan,-0.518519446
efavirenz,-0.518503423
flecainide,-0.518501813
siguazodan,-0.518498833
fomocaine,-0.518491619
PH-797804,-0.518435474
loxoprofen,-0.518434725
prazosin,-0.518411236
PF-03814735,-0.518409683
cabergoline,-0.518390863
sertindole,-0.518390247
BMS-387032,-0.518322857
trifluoperazine,-0.518321568
BIX-02189,-0.518276645
crizotinib,-0.518213614
Y-27152,-0.518200192
lopinavir,-0.518177447
buparlisib,-0.518154693
felbamate,-0.5181299
fosinopril,-0.518039449
adenosine,-0.517967605
amfepramone,-0.517967349
R-428,-0.517966732
niguldipine,-0.517878334
cyproterone-acetate,-0.517867503
orlistat,-0.517833226
sertaconazole,-0.517669591
ethinyl-estradiol,-0.517664129
rivaroxaban,-0.51765795
orteronel,-0.517610473
methylprednisolone,-0.517608723
GDC-0068,-0.517589539
quinine,-0.517553703
KI-20227,-0.517545467
PS-178990,-0.517537531
danusertib,-0.517512827
linezolid,-0.517492369
ampalex,-0.51746299
PLX-4720,-0.517462602
JNK-IN-5A,-0.517447265
voglibose,-0.517446482
bupivacaine,-0.517442257
VX-745,-0.517397891
olprinone,-0.517345006
piperidolate,-0.517343729
CO-102862,-0.517309193
nimesulide,-0.51728977
cobicistat,-0.517287566
SU-11652,-0.517248649
KIN001-127,-0.517174765
levcromakalim,-0.517172098
azelastine,-0.517155991
AZ-628,-0.517077675
sulfafurazole,-0.517030933
dinoprost,-0.517024689
acrivastine,-0.517000663
tolazamide,-0.516963122
D-serine,-0.516954613
nutlin-3,-0.516937609
procainamide,-0.51692061
melatonin,-0.516887431
indapamide,-0.516793616
nefiracetam,-0.516791217
JWE-035,-0.516743995
cediranib,-0.516739992
darifenacin,-0.516728292
AT7867,-0.516727959
bupropion,-0.516618094
palomid-529,-0.516526707
riluzole,-0.51650445
PIK-93,-0.516466732
pomalidomide,-0.516455721
tanaproget,-0.516428863
anidulafungin,-0.516401763
clonidine,-0.516361622
atomoxetine,-0.516345393
methimazole,-0.516303894
mirtazapine,-0.516229164
istaroxime,-0.516203391
galeterone,-0.51614092
betrixaban,-0.516129518
A-769662,-0.516099961
HG-5-113-01,-0.516098141
ciglitazone,-0.516050948
CX-516,-0.516027481
lacitol,-0.515886915
efaproxiral,-0.51586591
resminostat,-0.515821879
KIN001-242,-0.515673431
fluorouracil,-0.515597465
KW-2478,-0.515566924
ACY-1215,-0.515527023
sulforaphane,-0.515482442
aprepitant,-0.515475819
RAF-265,-0.515375738
A-443654,-0.515370025
epothilone-b,-0.515332402
SR-2640,-0.51531276
racecadotril,-0.515302594
quiflapon,-0.515268151
clofoctol,-0.515247528
fluconazole,-0.515237848
ZD-7288,-0.515227878
ARP-101,-0.515203451
lafutidine,-0.515163947
nandrolone,-0.515114928
afloqualone,-0.515088157
motesanib,-0.51507238
dorzolamide,-0.515045716
ZK-200775,-0.5150062
5-aminolevulinic-acid,-0.514970567
EGFP,-0.514953723
iniparib,-0.514947831
aphidicolin,-0.514867477
ketorolac,-0.514849926
phentolamine,-0.514824476
tivantinib,-0.514690018
cepharanthine,-0.514677926
carbimazole,-0.514671997
carisoprodol,-0.514655001
melperone,-0.514600441
SAR-245409,-0.51457591
norethindrone,-0.514572682
ketanserin,-0.514522145
cabozantinib,-0.514434905
garcinol,-0.514333931
valrubicin,-0.514293472
primidone,-0.514243376
indiplon,-0.514240347
UNC-0638,-0.51420455
flutrimazole,-0.514180176
pritelivir,-0.51416723
baicalin,-0.514155055
torcetrapib,-0.514086157
balapiravir,-0.514048484
PHA-767491,-0.514044907
XMD-16144,-0.514035774
cefdinir,-0.514030232
EMD-53998,-0.5139963
betahistine,-0.513882798
simeprevir,-0.513878976
doramapimod,-0.513864175
bopindolol,-0.513821074
tonabersat,-0.513797901
letermovir,-0.513750327
duloxetine,-0.513735895
ipriflavone,-0.513683154
voreloxin,-0.51367648
epinephrine,-0.513652773
moxifloxacin,-0.513650445
Y-27632,-0.513635243
atorvastatin,-0.513622344
donepezil,-0.513604629
isoniazid,-0.513566435
chlorpromazine,-0.513550137
diosmin,-0.513534949
PFI-1,-0.51352218
gefitinib,-0.51348217
amitifadine,-0.513475413
valsartan,-0.513460398
cromoglicic-acid,-0.513398111
curcumin,-0.513392203
NSI-189,-0.513390713
carprofen,-0.513280366
vinpocetine,-0.513264383
chlorambucil,-0.513231118
AZD-8330,-0.51321042
selamectin,-0.513171165
gatifloxacin,-0.513138267
chenodiol,-0.513135785
nalbuphine,-0.513075497
mibampator,-0.513041799
minoxidil,-0.512930769
vismodegib,-0.512917069
PF-04447943,-0.512890351
ganetespib,-0.512879765
trientine,-0.512876545
cutamesine,-0.512843343
amantadine,-0.512842624
LGX-818,-0.512827447
Y-26763,-0.512753059
telbivudine,-0.512724106
MGCD-265,-0.512712374
ZK-811752,-0.512700769
CC-930,-0.512659223
salvinorin-a,-0.512623371
penicillin-v-potassium,-0.512621623
BVD-523,-0.512614942
raltegravir,-0.512587529
taltirelin,-0.51251565
GDC-0834,-0.512515171
repaglinide,-0.512474257
troglitazone,-0.51247254
MBX-2982,-0.512465655
MDL-73005EF,-0.512446991
mesulergine,-0.512400294
butorphanol-(+)-tartrate,-0.512387982
epirizole,-0.512296659
SB-271046,-0.512285112
MC1568,-0.512261417
amineptine,-0.512239169
trimethoprim,-0.512237032
AZD-4547,-0.512159653
ivabradine,-0.512049592
pioglitazone,-0.512025408
esculin,-0.512003046
azithromycin,-0.511985612
ATN-161,-0.511948685
nitrendipine,-0.511853945
progesterone,-0.511833531
rocuronium,-0.511833317
AKT-inhibitor-1-2,-0.51183317
butoconazole,-0.511820703
nortriptyline,-0.511800672
ellagic-acid,-0.511774851
WZ-7043,-0.511728308
guanadrel,-0.511717178
GSK-3-inhibitor-II,-0.511668149
lidocaine,-0.511642578
citalopram,-0.511616777
SDZ-NKT-343,-0.511555266
ketotifen,-0.511509757
amoxapine,-0.511461088
SB-242235,-0.511447921
clenbuterol,-0.511431574
eplerenone,-0.51132373
gliquidone,-0.511301428
ARRY-334543,-0.511296555
LDN-193189,-0.511296435
zafirlukast,-0.511243232
lenvatinib,-0.511204153
trimethobenzamide,-0.511195802
glycitein,-0.511194982
lapatinib,-0.511191654
pinitol,-0.511118779
marimastat,-0.511086424
goserelin-acetate,-0.511056884
targinine,-0.511031101
darapladib,-0.5110228
apixaban,-0.511018864
FPL-55712,-0.510975084
pazufloxacin,-0.510973239
losartan,-0.51088072
BMS-509744,-0.510815582
maraviroc,-0.510774789
N6022,-0.510768779
XMD-1499,-0.510766375
timonacic,-0.510740467
DU-728,-0.510666576
azacitidine,-0.51064917
ornidazole,-0.510625527
dihydroergotamine,-0.510505678
droperidol,-0.510456765
gaboxadol,-0.510444787
eptifibatide,-0.510443478
sarcosine,-0.510392548
venetoclax,-0.51037458
linopirdine,-0.510367879
propentofylline,-0.510289207
mepazine,-0.510276196
bimatoprost,-0.510268871
bucladesine,-0.510230167
mitiglinide,-0.510223677
BMS-299897,-0.510196779
thioctic-acid,-0.510193098
andarine,-0.510142344
talnetant,-0.510139692
rifaximin,-0.510097641
timofibrate,-0.510094603
oxatomide,-0.510072484
luteolin,-0.510023896
ticlopidine,-0.51000836
estramustine-phosphate,-0.509992365
trimipramine,-0.509986687
idelalisib,-0.509945167
FR-180204,-0.509933242
milnacipran,-0.509924063
asymmetrical-dimethylarginine,-0.509894719
apremilast,-0.509882726
dovitinib,-0.509868492
leflunomide,-0.509835316
amuvatinib,-0.509829485
cyclosporin-a,-0.509813669
HG-5-88-01,-0.509803516
IKK-inhibitor-X,-0.509798951
tetracaine,-0.5097888
swainsonine,-0.509787567
griseofulvin,-0.509752716
GSK-2334470,-0.509640651
LY-2801653,-0.509607829
aliskiren,-0.50954226
climbazole,-0.509530089
tipiracil,-0.509449392
BAY-87-2243,-0.509440386
dilazep,-0.509434177
prednisone,-0.509433409
XL-888,-0.50940166
BMS-927711,-0.509357143
raclopride,-0.50934806
LX-1031,-0.509307105
acetylcysteine,-0.509307047
bevirimat-dimeglumine,-0.509235171
oglemilast,-0.50919116
PIK3CA,-0.509160198
acipimox,-0.509132465
topiroxostat,-0.509127107
zaleplon,-0.509061577
IOX2,-0.509058266
lurasidone,-0.509042505
clobetasol,-0.509027186
arglabin,-0.508982256
merimepodib,-0.508952763
dicoumarol,-0.508938279
MK-1775,-0.508924306
telcagepant,-0.508908856
LY-2334737,-0.508872878
canagliflozin,-0.508870561
etacrynic-acid,-0.508852654
aniracetam,-0.508672906
proglumide,-0.508643281
adarotene,-0.508608949
niacin,-0.508588226
cevimeline,-0.508572203
maribavir,-0.508566378
mestranol,-0.508555473
ponatinib,-0.508543702
triamterene,-0.508481522
AICA-ribonucleotide,-0.508448772
PSI-6130,-0.508434199
lorcaserin,-0.508425419
pyrimethamine,-0.508358339
miconazole,-0.508311827
dinaciclib,-0.508290365
BIX-01338,-0.508255279
picolinic-acid,-0.508229972
pilaralisib,-0.508229271
amitriptyline,-0.508228431
etazolate,-0.508225416
dabrafenib,-0.508209012
OSI-930,-0.508136527
rosuvastatin,-0.50812209
fidarestat,-0.508114211
abacavir,-0.508107918
thiocolchicoside,-0.508107799
MK-8245,-0.508082911
odanacatib,-0.508074592
2-iminobiotin,-0.508060665
LXR-623,-0.507960343
urea,-0.507942951
amrinone,-0.507911313
CB-10-277-(free-acid),-0.507894468
BX-912,-0.507881441
atovaquone,-0.507841877
pidotimod,-0.507833061
nateglinide,-0.507820202
cilostazol,-0.507814445
GW-842166,-0.507792003
CGS-20625,-0.50774447
benzotript,-0.507711117
arbutin,-0.50769647
desmopressin-acetate,-0.507631169
levomequitazine,-0.507610032
nicardipine,-0.507593865
ursodeoxycholyltaurine,-0.507535414
fenoldopam,-0.507515697
I-BET-151,-0.507451565
chloroxine,-0.507446941
Ro-4987655,-0.507420364
API-001,-0.50736973
paricalcitol,-0.507363225
naftifine,-0.507332301
cabazitaxel,-0.507318487
tenidap,-0.507302182
TAK-285,-0.507297866
etravirine,-0.507296336
guanethidine,-0.507274158
clofazimine,-0.507272108
pimozide,-0.507216451
lupanine,-0.507190739
LY-2228820,-0.507177194
GSK-690693,-0.507173534
AZ-20,-0.507164041
testosterone,-0.507138863
fiacitabine,-0.50707449
nefazodone,-0.507060883
seocalcitol,-0.507049084
imiquimod,-0.507046429
etanidazole,-0.506963875
PA-824,-0.506963749
moxonidine,-0.506932258
FK-888,-0.506929632
methocarbamol,-0.506911326
mefloquine,-0.506822533
hydroflumethiazide,-0.50681431
HC-030031,-0.506799126
chelerythrine,-0.506793356
quinidine,-0.506781671
BIBX-1382,-0.506774918
mebendazole,-0.506762477
mianserin,-0.506758536
varespladib,-0.50675373
tazarotene,-0.506748109
dexniguldipine,-0.506708422
BX-795,-0.506620126
potassium-canrenoate,-0.506607956
cladribine,-0.506588832
edoxaban,-0.506484708
ebselen,-0.506464451
REV-5901,-0.506439777
AZD-8931,-0.506436602
zardaverine,-0.506393796
taladegib,-0.506369944
ritonavir,-0.506266144
quercetin,-0.506265131
rimantadine,-0.506253261
sirolimus,-0.506227173
fulvestrant,-0.506173164
pinaverium,-0.50615768
ABT-737,-0.506131357
probucol,-0.506106045
metamizole,-0.506077236
ketoconazole,-0.506076619
MK-3207,-0.506067118
erlotinib,-0.506060936
azelaic-acid,-0.506039448
chlorprothixene,-0.506027628
nemonapride,-0.506026588
avasimibe,-0.506004215
almorexant,-0.505902384
AGI-5198,-0.505874482
rolipram,-0.505866623
L-citrulline,-0.505803364
fexofenadine,-0.505785946
adapalene,-0.505755633
GSK-J1,-0.505750114
rimcazole,-0.505749015
desoxypeganine,-0.50572502
bifonazole,-0.505703432
NVP-TAE684,-0.505699604
lonidamine,-0.505642163
camostat-mesilate,-0.505632228
tramadol,-0.505603047
etomoxir,-0.505576105
CX-4945,-0.505513007
GDC-0980,-0.50548633
norethisterone,-0.505479247
choline-alfoscerate,-0.50547882
pyrazinamide,-0.505370306
amiprilose,-0.505358658
idasanutlin,-0.505353846
acivicin,-0.505332109
felbinac,-0.505323131
UNC-1215,-0.505273144
vanoxerine,-0.505263867
AT-13387,-0.505255495
idoxuridin,-0.505251805
doxazosin,-0.505242172
chlormezanone,-0.505218369
carvedilol,-0.505036563
altrenogest,-0.505031193
fomepizole,-0.505015009
dasabuvir,-0.504993505
urapidil,-0.504984687
GSK-429286A,-0.504927659
oxybutynin,-0.504926208
QL-XII-47,-0.504914358
cilengitide,-0.504901248
SB-239063,-0.50489142
norfloxacin,-0.504886725
cinepazide,-0.504839293
cefoperazone,-0.504794182
pazopanib,-0.504731879
talmapimod,-0.504642972
camptothecin,-0.504512073
lucitanib,-0.504490928
IB-MECA,-0.504485027
bosutinib,-0.504460785
JQ1-(-),-0.504455072
HG-9-91-01,-0.504408132
alisertib,-0.504401978
cinnarizine,-0.504387598
nevirapine,-0.504360221
carbenoxolone,-0.504216341
luliconazole,-0.504121623
XMD-885,-0.504106087
AZD-8055,-0.504098502
GDC-0152,-0.504018204
enprofylline,-0.504009542
KD-023,-0.503987345
estrone,-0.503970536
bepotastine,-0.503899055
fluvoxamine,-0.503883944
semagacestat,-0.503838099
irsogladine,-0.503834078
clofibrate,-0.50381147
MK-0773,-0.503798941
tolfenamic-acid,-0.503783544
verapamil,-0.503780606
empagliflozin,-0.50375906
pantoprazole,-0.503703258
tacrolimus,-0.503697222
AZD-3514,-0.503611884
resorcinol,-0.503610838
thalidomide,-0.50355865
ENMD-2076,-0.503555453
AST-1306,-0.503553274
LCQ-908,-0.503539056
tioguanine,-0.503474318
metoprolol,-0.503400624
metergoline,-0.503400619
propylthiouracil,-0.503343626
rimonabant,-0.503309259
lofexidine,-0.503290678
dihydroergocristine,-0.503278553
benfluorex,-0.503270491
GSK-1070916,-0.503244194
TIC10,-0.503235017
ixazomib,-0.503225329
PF-03758309,-0.503219352
phenprocoumon,-0.503207485
balicatib,-0.503190691
palmitoylethanolamide,-0.503125695
apocynin,-0.503071269
masoprocol,-0.503061107
naproxen,-0.503053311
ciclesonide,-0.50305063
serdemetan,-0.503049314
lobenzarit,-0.503024362
vilazodone,-0.503017966
tiagabine,-0.503013299
phenazone,-0.502959287
LY-2603618,-0.502919328
clemizole,-0.502886147
lesinurad,-0.50288453
metformin,-0.502835006
rebamipide,-0.502818037
ataluren,-0.502769215
medroxyprogesterone-acetate,-0.502747927
zileuton,-0.502737485
VTP-27999,-0.502677348
mepacrine,-0.502642347
JTE-907,-0.502606089
atipamezole,-0.502604761
indoximod,-0.502521849
ropinirole,-0.502506375
linsidomine,-0.502457747
anastrozole,-0.502384241
MD-920,-0.502382704
praziquantel,-0.502342073
berberine,-0.502313709
combretastatin-A-4,-0.502312454
enoxacin,-0.502280972
torasemide,-0.502242976
acenocoumarol,-0.502238157
KU-55933,-0.502199574
NU-7026,-0.502186986
dapsone,-0.502184308
rilmenidine,-0.502182347
BCI-540,-0.502177949
TG-100801,-0.50210171
calcitriol,-0.50206094
oseltamivir-carboxylate,-0.502049454
fluphenazine,-0.502037928
BS-181,-0.502015066
estramustine,-0.501994747
vincamine,-0.501979126
sparfloxacin,-0.501906108
SEP-227900,-0.50189559
picotamide,-0.501861265
amiloride,-0.501819336
pramipexole,-0.501811388
triamcinolone,-0.501807086
chloroquine,-0.501781221
cilomilast,-0.501765752
TG-100115,-0.50176165
bambuterol,-0.50174632
baricitinib,-0.501738614
chrysin,-0.501737743
venlafaxine,-0.501698583
lirimilast,-0.501640051
escitalopram,-0.501615235
JQ1-(+),-0.501562066
KIN001-266,-0.501540661
phenytoin,-0.501459641
nicaraven,-0.501452263
fluorometholone,-0.501441533
etofenamate,-0.50143505
acyclovir,-0.501432877
furosemide,-0.501428783
tolvaptan,-0.50142509
aminocaproic-acid,-0.501399785
CTB,-0.501318657
pinacidil,-0.501301259
benzamil,-0.50130093
mCPP,-0.501263357
thioridazine,-0.501244191
tafamidis-meglumine,-0.501240965
YM-155,-0.501229777
pimecrolimus,-0.501106859
CL-218872,-0.501093626
mazindol,-0.501027728
bifemelane,-0.501025085
histamine,-0.501010851
CI-966,-0.5009864
ipratropium,-0.500925818
GSK-J2,-0.500915804
DPI-201106,-0.500912947
sildenafil,-0.500897172
cefepime,-0.500894593
bropirimine,-0.500846497
amlodipine,-0.50083262
labetalol,-0.500798813
SR-57227A,-0.500755826
mericitabine,-0.500754061
inositol,-0.500642844
glimepiride,-0.50057093
voriconazole,-0.500564233
desvenlafaxine,-0.500558609
teriflunomide,-0.500543126
oxiperomide,-0.500480391
tyrphostin-1,-0.500434661
saquinavir,-0.500426336
halofantrine,-0.500425145
aclidinium,-0.500396651
rucinol,-0.500341128
trazodone,-0.500331932
ALW-II-49-7,-0.500321178
epinastine,-0.500297701
tyrphostin-AG-1478,-0.500290566
olanzapine,-0.500288502
cisapride,-0.500275689
AM-24,-0.500262042
dutasteride,-0.500208108
